product,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,fenci,area_label,prod_label
三鲜小馄饨,上海,市辖区,闵行区,31,3101,310112,三鲜 小 馄饨,三鲜,小馄饨
上海蜜汁火方,上海,市辖区,闵行区,31,3101,310112,上海 蜜汁 火方,上海,蜜汁火方
卤味扎肉,上海,市辖区,闵行区,31,3101,310112,卤味 扎肉,卤味,卤味扎肉
条头糕薄荷糕,上海,市辖区,闵行区,31,3101,310112,条头糕 薄荷 糕,条头糕,薄荷糕
油豆腐线粉汤,上海,市辖区,闵行区,31,3101,310112,油豆腐 线粉 汤,油豆腐,线粉汤
泰康蟹黄汤包,上海,市辖区,闵行区,31,3101,310112,泰康 蟹黄 汤包,泰康,蟹黄汤包
老街汤团,上海,市辖区,闵行区,31,3101,310112,老街 汤团,老街,老街汤团
酒酿糟肉,上海,市辖区,闵行区,31,3101,310112,酒酿 糟肉,酒酿,酒酿糟肉
伊犁天马,上海,市辖区,静安区,31,3101,310106,伊犁 天马,伊犁,伊犁天马
伊犁特曲,上海,市辖区,静安区,31,3101,310106,伊犁 特曲,伊犁,伊犁特曲
伊犁名酒,上海,市辖区,静安区,31,3101,310106,伊犁 名酒,伊犁,伊犁名酒
伊犁薰衣草,上海,市辖区,静安区,31,3101,310106,伊犁 薰衣草,伊犁,薰衣草
伊犁抓饭,上海,市辖区,静安区,31,3101,310106,伊犁 抓饭,伊犁,伊犁抓饭
纳仁,上海,市辖区,静安区,31,3101,310106,纳仁,,纳仁
美利奴羊,上海,市辖区,静安区,31,3101,310106,美 利奴羊,,美利奴羊
霍尔果斯粉汤,上海,市辖区,静安区,31,3101,310106,霍尔果斯 粉汤,霍尔果斯,粉汤
商榻菜苋,上海,市辖区,青浦区,31,3101,310118,商榻 菜 苋,商榻,商榻菜苋
塘里鱼炖蛋,上海,市辖区,青浦区,31,3101,310118,塘里 鱼炖 蛋,塘里,鱼炖蛋
朱家角扎肉,上海,市辖区,青浦区,31,3101,310118,朱家角扎肉,,朱家角扎肉
沪香枇杷,上海,市辖区,青浦区,31,3101,310118,沪 香 枇杷,,沪香枇杷
烧鳗鱼,上海,市辖区,青浦区,31,3101,310118,烧 鳗鱼,,烧鳗鱼
白鹤镇草莓,上海,市辖区,青浦区,31,3101,310118,白鹤 镇 草莓,白鹤,镇草莓
红烧塘里鱼,上海,市辖区,青浦区,31,3101,310118,红烧 塘里 鱼,红烧,塘里鱼
练塘草编,上海,市辖区,青浦区,31,3101,310118,练塘 草编,练塘,练塘草编
芡实糕,上海,市辖区,青浦区,31,3101,310118,芡实糕,,芡实糕
赵家香干,上海,市辖区,青浦区,31,3101,310118,赵家 香干,赵家,赵家香干
金泽状元糕,上海,市辖区,青浦区,31,3101,310118,金泽 状元 糕,金泽,状元糕
银鱼炒蛋,上海,市辖区,青浦区,31,3101,310118,银鱼 炒蛋,银鱼,银鱼炒蛋
银鱼羹,上海,市辖区,青浦区,31,3101,310118,银鱼 羹,,银鱼羹
青香糯米粽,上海,市辖区,青浦区,31,3101,310118,青 香糯米 粽,,青香糯米粽
面条鱼,上海,市辖区,青浦区,31,3101,310118,面条 鱼,,面条鱼
香粳稻,上海,市辖区,青浦区,31,3101,310118,香 粳稻,,香粳稻
鹌鹑皮蛋,上海,市辖区,青浦区,31,3101,310118,鹌鹑 皮蛋,鹌鹑,鹌鹑皮蛋
一捏酥,上海,市辖区,静安区,31,3101,310106,一 捏酥,,一捏酥
上海咸水鸭,上海,市辖区,静安区,31,3101,310106,上海 咸水 鸭,上海,咸水鸭
上海城隍庙五香豆,上海,市辖区,静安区,31,3101,310106,上海 城隍庙五香豆,上海,城隍庙五香豆
上海擂沙汤圆,上海,市辖区,静安区,31,3101,310106,上海 擂沙 汤圆,上海,擂沙汤圆
上海曹素功墨,上海,市辖区,静安区,31,3101,310106,上海 曹素 功墨,上海,曹素功墨
上海绢花,上海,市辖区,静安区,31,3101,310106,上海 绢花,上海,上海绢花
上海集云阁篆刻,上海,市辖区,静安区,31,3101,310106,上海 集云阁 篆刻,上海,集云阁篆刻
五仁梅花酥,上海,市辖区,静安区,31,3101,310106,五仁 梅花 酥,五仁,梅花酥
冬菜粢毛团,上海,市辖区,静安区,31,3101,310106,冬菜 粢 毛团,冬菜,粢毛团
崩瓜,上海,市辖区,静安区,31,3101,310106,崩瓜,,崩瓜
巧果,上海,市辖区,静安区,31,3101,310106,巧果,,巧果
干贝汤包,上海,市辖区,静安区,31,3101,310106,干贝 汤包,干贝,干贝汤包
开洋葱油面,上海,市辖区,静安区,31,3101,310106,开 洋葱 油面,,开洋葱油面
排骨年糕,上海,市辖区,静安区,31,3101,310106,排骨 年糕,排骨,排骨年糕
水晶虾仁,上海,市辖区,静安区,31,3101,310106,水晶 虾仁,水晶,水晶虾仁
水桃酥,上海,市辖区,静安区,31,3101,310106,水 桃酥,,水桃酥
红烧油面筋,上海,市辖区,静安区,31,3101,310106,红烧 油面筋,红烧,油面筋
荠菜肉馄饨,上海,市辖区,静安区,31,3101,310106,荠菜 肉 馄饨,荠菜,肉馄饨
薄荷糕,上海,市辖区,静安区,31,3101,310106,薄荷 糕,,薄荷糕
蟹黄灌汤包,上海,市辖区,静安区,31,3101,310106,蟹黄灌汤包,,蟹黄灌汤包
上海春卷,上海,市辖区,黄浦区,31,3101,310101,上海 春卷,上海,上海春卷
丰裕生煎,上海,市辖区,黄浦区,31,3101,310101,丰裕 生 煎,丰裕,丰裕生煎
八宝辣酱,上海,市辖区,黄浦区,31,3101,310101,八宝 辣酱,八宝,八宝辣酱
八宝鸭,上海,市辖区,黄浦区,31,3101,310101,八宝 鸭,,八宝鸭
开洋葱油拌面,上海,市辖区,黄浦区,31,3101,310101,开 洋葱 油 拌面,,开洋葱油拌面
扣三丝,上海,市辖区,黄浦区,31,3101,310101,扣 三丝,,扣三丝
条头糕,上海,市辖区,黄浦区,31,3101,310101,条头糕,,条头糕
桂花甜酒酿,上海,市辖区,黄浦区,31,3101,310101,桂花 甜酒酿,桂花,甜酒酿
水晶河虾仁,上海,市辖区,黄浦区,31,3101,310101,水晶 河 虾仁,水晶,河虾仁
油墩子,上海,市辖区,黄浦区,31,3101,310101,油 墩子,,油墩子
炸臭豆腐干,上海,市辖区,黄浦区,31,3101,310101,炸 臭豆腐 干,,炸臭豆腐干
烧白桃,上海,市辖区,黄浦区,31,3101,310101,烧 白桃,,烧白桃
猪肉烧卖,上海,市辖区,黄浦区,31,3101,310101,猪肉 烧卖,猪肉,猪肉烧卖
生煎馒头,上海,市辖区,黄浦区,31,3101,310101,生煎馒头,,生煎馒头
素菜包子,上海,市辖区,黄浦区,31,3101,310101,素 菜包子,,素菜包子
红烧烧麸,上海,市辖区,黄浦区,31,3101,310101,红烧 烧麸,红烧,红烧烧麸
茅台鸡,上海,市辖区,黄浦区,31,3101,310101,茅台 鸡,,茅台鸡
茶叶蛋,上海,市辖区,黄浦区,31,3101,310101,茶叶蛋,,茶叶蛋
薄荷糕,上海,市辖区,黄浦区,31,3101,310101,薄荷 糕,,薄荷糕
锦江烤鸭,上海,市辖区,黄浦区,31,3101,310101,锦江 烤鸭,锦江,锦江烤鸭
青鱼秃肺,上海,市辖区,黄浦区,31,3101,310101,青鱼 秃 肺,青鱼,青鱼秃肺
临沧长毛山羊,云南,临沧,归口临沧,53,5309,530999,临沧 长毛 山羊,临沧,长毛山羊
傣味牛撒撇,云南,临沧,归口临沧,53,5309,530999,傣味 牛撒撇,傣味,牛撒撇
凤庆腊肉,云南,临沧,归口临沧,53,5309,530999,凤庆 腊肉,凤庆,凤庆腊肉
凤庆饵丝,云南,临沧,归口临沧,53,5309,530999,凤庆 饵丝,凤庆,凤庆饵丝
凤庆鸡枞,云南,临沧,归口临沧,53,5309,530999,凤庆 鸡枞,凤庆,凤庆鸡枞
