product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,,
阿沛甲咂牛,0,0,0,0,西藏,林芝,归口林芝,54,5404,540499,5,阿沛甲,咂牛,3,2,5,
丰台京绣,0,0,0,0,北京,市辖区,丰台区,11,1101,110106,4,丰台,京绣,2,2,4,
怀柔炒肝,0,0,0,0,北京,市辖区,怀柔区,11,1101,110116,4,怀柔,炒肝,2,2,4,
商榻菜苋,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,商榻,菜苋,2,2,4,
塘里鱼炖蛋,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,5,塘里,鱼炖蛋,2,3,5,
朱家角扎肉,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,5,青浦,朱家角扎肉,2,5,5,
沪香枇杷,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,,沪香枇杷,0,4,4,
烧鳗鱼,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,3,青浦,烧鳗鱼,2,3,3,
白鹤镇草莓,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,5,白鹤镇,草莓,3,2,5,
青浦红烧塘里鱼,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,7,青浦,红烧塘里鱼,2,5,7,1
练塘草编,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,练塘,草编,2,2,4,
芡实糕,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,3,青浦,芡实糕,2,3,3,
赵家香干,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,赵家,香干,2,2,4,
金泽状元糕,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,5,金泽,状元糕,2,3,5,
银鱼炒蛋,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,银鱼,炒蛋,2,2,4,
银鱼羹,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,3,青浦,银鱼羹,2,3,3,
青香糯米粽,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,5,,青香糯米粽,0,5,5,
面条鱼,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,3,青浦,面条鱼,2,3,3,
香粳稻,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,3,青浦,香粳稻,2,3,3,
鹌鹑皮蛋,0,0,0,0,上海,市辖区,青浦区,31,3101,310118,4,青浦,鹌鹑皮蛋,2,4,4,
一捏酥,0,0,0,0,上海,市辖区,静安区,31,3101,310106,3,静安,一捏酥,2,3,3,
上海咸水鸭,0,0,0,0,上海,市辖区,静安区,31,3101,310106,5,上海,咸水鸭,2,3,5,
上海城隍庙五香豆,0,0,0,0,上海,市辖区,静安区,31,3101,310106,8,上海,城隍庙五香豆,2,6,8,
上海擂沙汤圆,0,0,0,0,上海,市辖区,静安区,31,3101,310106,6,上海,擂沙汤圆,2,4,6,
上海曹素功墨,0,0,0,0,上海,市辖区,静安区,31,3101,310106,6,上海,曹素功墨,2,4,6,
上海绢花,0,0,0,0,上海,市辖区,静安区,31,3101,310106,4,上海,绢花,2,2,4,
上海集云阁篆刻,0,0,0,0,上海,市辖区,静安区,31,3101,310106,7,上海,集云阁篆刻,2,5,7,
五仁梅花酥,0,0,0,0,上海,市辖区,静安区,31,3101,310106,5,五仁,梅花酥,2,3,5,
冬菜粢毛团,0,0,0,0,上海,市辖区,静安区,31,3101,310106,5,冬菜,粢毛团,2,3,5,
门头沟压肉,0,0,0,0,北京,市辖区,门头沟区,11,1101,110109,5,门头沟,压肉,3,2,5,
门头沟炸糕,0,0,0,0,北京,市辖区,门头沟区,11,1101,110109,5,门头沟,炸糕,3,2,5,
干贝汤包,0,0,0,0,上海,市辖区,静安区,31,3101,310106,4,干贝,汤包,2,2,4,
开洋葱油面,0,0,0,0,上海,市辖区,静安区,31,3101,310106,5,,开洋葱油面,0,5,5,
排骨年糕,0,0,0,0,上海,市辖区,静安区,31,3101,310106,4,排骨,年糕,2,2,4,
水晶虾仁,0,0,0,0,上海,市辖区,静安区,31,3101,310106,4,水晶,虾仁,2,2,4,
